"SubjectNumber","ReleaseSchedule","Genre","Views"
99,"DualDrop","Comedy",45.424
100,"Drop","Drama",63.638
101,"Drop","Fantasy",91.552
102,"Drop","Comedy",86.361
103,"Weekly","Drama",57.624
104,"DualDrop","Comedy",86.575
105,"Weekly","Comedy",54.462
106,"Weekly","Comedy",57.7
107,"DualDrop","Comedy",78.491
108,"Drop","Mystery",61.578
109,"Weekly","Mystery",66.723
110,"DualDrop","Fantasy",46.687
111,"DualDrop","Fantasy",73.048
112,"DualDrop","Fantasy",91.851
113,"Drop","Fantasy",71.011
114,"DualDrop","Fantasy",55.957
115,"Drop","Mystery",69.55
116,"Weekly","Comedy",68.953
117,"DualDrop","Drama",96.994
118,"DualDrop","Mystery",59.683
119,"Weekly","Mystery",66.45
120,"Drop","Fantasy",56.411
121,"Weekly","Mystery",61.464
122,"Drop","Comedy",96.552
123,"Weekly","Drama",67.616
124,"DualDrop","Drama",78.759
125,"Weekly","Mystery",63.293
126,"DualDrop","Mystery",61.926
127,"Weekly","Comedy",59.001
128,"Drop","Drama",76.714
129,"DualDrop","Comedy",62.744
130,"Drop","Fantasy",59.312
131,"DualDrop","Mystery",37.759
132,"DualDrop","Mystery",42.873
133,"Weekly","Drama",73.558
134,"DualDrop","Fantasy",49.68
135,"Drop","Mystery",85.138
136,"Weekly","Mystery",80.909
137,"DualDrop","Drama",51.316
138,"Weekly","Drama",72.049
139,"DualDrop","Mystery",68.124
140,"DualDrop","Mystery",63.526
141,"DualDrop","Comedy",64.209
142,"DualDrop","Drama",54.725
143,"Drop","Fantasy",46.753
144,"DualDrop","Drama",89.503
145,"Drop","Mystery",92.243
146,"Drop","Fantasy",66.486
147,"Weekly","Comedy",64.267
148,"Drop","Drama",66.834
149,"Drop","Fantasy",97.533
150,"Weekly","Drama",29.658
151,"Weekly","Drama",94.401
152,"Weekly","Comedy",65.517
153,"DualDrop","Fantasy",70.665
154,"DualDrop","Comedy",62.118
155,"Weekly","Comedy",58.734
156,"DualDrop","Comedy",91.43
157,"Weekly","Mystery",56.576
158,"Weekly","Fantasy",68.673
159,"Drop","Mystery",101.559
160,"DualDrop","Drama",52.136
161,"DualDrop","Drama",50.564
162,"DualDrop","Mystery",45.759
163,"Weekly","Comedy",73.652
164,"DualDrop","Mystery",65.129
165,"Drop","Fantasy",83.324
166,"DualDrop","Drama",88.563
167,"Drop","Mystery",86.731
168,"DualDrop","Fantasy",54.89
169,"Drop","Mystery",52.853
170,"Weekly","Fantasy",72.593
171,"Drop","Drama",56.9
172,"Weekly","Fantasy",46.249
173,"DualDrop","Mystery",56.628
174,"Weekly","Fantasy",71.008
175,"Drop","Comedy",82.743
176,"Weekly","Drama",70.161
177,"DualDrop","Fantasy",82.83
178,"Weekly","Comedy",62.453
179,"Weekly","Comedy",66.711
180,"Weekly","Mystery",63.589
