befnr,StartYear,industry_category,LegalForm,Location,FollowerBusiness,IndAffBusiness,EmployeeNum,CompanyEndYear,YearsWorkExperience,YearsSchooling,CapitalInvested,GenSpeBusiness,TradInnoBusiness,MarketScope,CompetitionIntensity,Seasonality,OrderClusters,IndustryExperience,FounderFather,beg1,beg2,beg3,beg4,beg5,beg6,beg7,beg8,beg9,beg10,beg11,beg12,beg13,beg14,beg15,beg16,beg17,beg18,beg19,beg20,end1,end2,end3,end4,end5,end6,end7,end8,end9,end10,end11,end12,end13,end14,end15,end16,end17,end18,end19,end20,typ1,typ2,typ3,typ4,typ5,typ6,typ7,typ8,typ9,typ10,typ11,typ12,typ13,typ14,typ15,typ16,typ17,WorkExperienceYears,SelfEmploymentYears,SelfEmploymentExp,EndYear_Clean,Censored,SurvivalTime
1062,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Newcomer,Independent,1,Business still registered,18,11,100000,Specialist,Innovative,National,high,high,low,0.0,1.0,73,76,80,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,76,80,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,9.0,3.0,1.0,1990,1,5.0
1063,1985,Other Services,Registered firm,Munich,Newcomer,Affiliated,12,Business still registered,20,12,50000,Specialist,Traditional,Local,high,low,high,1.0,1.0,66,68,69,73,74,84,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,68,69,73,74,84,85,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,le,ab,le,ab,ab,se,m,m,m,m,m,m,m,m,m,m,19.0,1.0,1.0,1990,1,5.0
1065,1985,Other Services,Registered firm,Upper Bavaria,Newcomer,Independent,1,Business still registered,3,13,130000,Specialist,Traditional,National,low,,,1.0,1.0,62,65,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,65,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,23.0,0.0,0.0,1990,1,5.0
1071,1986,Other Services,Small tradesman,Upper Bavaria,Newcomer,Independent,2,88,10,17,50000,Specialist,Traditional,Local,high,high,,0.0,1.0,78,81,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,81,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,al,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,3.0,3.0,1.0,88,0,
1094,1985,Other Services,Registered firm,Upper Bavaria,Newcomer,Independent,3,Business still registered,29,11,70000,Generalist,Traditional,Local,high,,,1.0,1.0,70,72,75,78,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,72,75,78,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ne,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,9.0,3.0,1.0,1990,1,5.0
1104,1985,Other Services,Small tradesman,Munich,Newcomer,Affiliated,0,85,13,10,100000,Specialist,Innovative,Local,,,,0.0,1.0,56,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,29.0,1.0,85,0,
1108,1985,Other Services,Small tradesman,Upper Bavaria,Follower,Independent,4,Business still registered,22,12,130000,Specialist,Traditional,Local,low,,,1.0,1.0,66,69,71,73,81,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,69,71,73,81,82,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,wz,ab,le,ab,se,m,m,m,m,m,m,m,m,m,m,15.0,2.0,1.0,1990,1,5.0
1116,1986,Wholesale/Retail Trade,Registered firm,Munich,Follower,Independent,11,Business still registered,1,18,270000,Generalist,Traditional,Local,high,,high,1.0,1.0,60,62,68,70,72,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,62,68,70,72,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,12.0,14.0,1.0,1990,1,4.0
1121,1986,Other Services,Small tradesman,Munich,Newcomer,Affiliated,1,87,27,11,50000,Specialist,Traditional,Local,high,low,low,1.0,1.0,84,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,wz,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,1.0,0.0,0.0,87,0,
1126,1986,Other Services,Small tradesman,Munich,Newcomer,Independent,1,87,33,12,250000,Generalist,Traditional,Local,high,high,,1.0,1.0,56,59,61,66,68,84,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,59,61,66,68,84,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,ab,se,ab,m,m,m,m,m,m,m,m,m,m,m,14.0,16.0,1.0,87,0,
1132,1986,Transportation,Small tradesman,Munich,Newcomer,Independent,1,87,13,12,150000,Specialist,Traditional,Local,high,low,low,0.0,1.0,47,50,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,50,82,83,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,al,m,m,m,m,m,m,m,m,m,m,m,m,m,36.0,0.0,0.0,87,0,
1133,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Newcomer,Affiliated,3,Business still registered,23,13,100000,Generalist,Traditional,National,high,low,low,1.0,1.0,72,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,10.0,3.0,1.0,1990,1,5.0
1135,1985,Manufacturing,Registered firm,Munich,Follower,Independent,16,Business still registered,26,18,50000,Specialist,Traditional,Local,high,,,1.0,1.0,59,62,67,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,62,67,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,8.0,18.0,1.0,1990,1,5.0
1136,1985,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,2,Business still registered,21,12,500000,Specialist,Innovative,Local,low,low,,1.0,1.0,59,76,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,76,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,17.0,9.0,1.0,1990,1,5.0
1139,1986,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Newcomer,Independent,2,Business still registered,14,14,100000,Specialist,Innovative,National,low,low,low,1.0,1.0,65,68,74,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,68,74,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ab,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,21.0,0.0,0.0,1990,1,4.0
1140,1985,Manufacturing,Registered firm,Upper Bavaria,Newcomer,Independent,2,Business still registered,36,12,80000,Specialist,Traditional,National,high,low,low,1.0,1.0,68,71,80,82,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,71,80,82,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,12.0,5.0,1.0,1990,1,5.0
1141,1986,Transportation,Registered firm,Munich,Follower,Independent,7,Business still registered,23,14,100000,Specialist,Innovative,National,low,low,high,1.0,1.0,40,50,53,56,60,72,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,50,53,56,60,72,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,wz,ab,ab,ab,ab,se,m,m,m,m,m,m,m,m,m,m,m,22.0,14.0,1.0,1990,1,4.0
1145,1986,Manufacturing,Registered firm,Upper Bavaria,Follower,Independent,14,Business still registered,7,12,400000,Specialist,Innovative,National,high,low,high,1.0,1.0,55,58,59,63,73,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,58,59,63,73,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,le,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,18.0,13.0,1.0,1990,1,4.0
1146,1986,Other Services,Registered firm,Munich,Newcomer,Independent,4,Business still registered,40,18,kein Startkapital,Specialist,Traditional,National,high,low,low,1.0,1.0,77,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,79,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,2.0,7.0,1.0,1990,1,4.0
1148,1986,Manufacturing,Registered firm,Upper Bavaria,Newcomer,Independent,0,Business still registered,8,12,25000,Specialist,Innovative,National,low,,low,1.0,1.0,32,35,38,39,47,54,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,35,38,39,47,54,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,se,wz,ab,se,m,m,m,m,m,m,m,m,m,m,m,10.0,33.0,1.0,1990,1,4.0
1150,1986,Other Services,Registered firm,Munich,Newcomer,Independent,2,Business still registered,30,11,150000,Specialist,Innovative,National,high,low,high,1.0,1.0,78,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,83,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,5.0,3.0,1.0,1990,1,4.0
1158,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,2,Business still registered,9,12,75000,Specialist,,,high,high,high,1.0,1.0,51,55,61,75,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,55,61,75,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,se,m,m,m,m,m,m,m,m,m,m,m,m,m,10.0,24.0,1.0,1990,1,5.0
1159,1985,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,2,Business still registered,15,11,kein Startkapital,Specialist,Innovative,Local,high,high,high,0.0,1.0,69,70,77,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,70,77,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,ne,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,9.0,0.0,0.0,1990,1,5.0
1168,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Affiliated,2,Business still registered,22,15,25000,Specialist,Innovative,Local,high,low,,1.0,1.0,60,63,65,67,69,70,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,63,65,67,69,70,79,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,ne,wz,ne,ne,ab,se,m,m,m,m,m,m,m,m,m,m,9.0,6.0,1.0,1990,1,5.0
1169,1985,Other Services,Registered firm,Munich,Newcomer,Independent,1,Business still registered,6,12,25000,Generalist,Traditional,Local,high,low,,1.0,1.0,60,63,75,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,63,75,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,m,15.0,10.0,1.0,1990,1,5.0
1171,1985,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,1,Business still registered,9,18,50000,Specialist,Traditional,Local,high,low,low,1.0,1.0,76,78,79,80,81,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,78,79,80,81,82,83,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,le,ab,ab,ab,ab,ab,m,m,m,m,m,m,m,m,m,m,9.0,0.0,0.0,1990,1,5.0
1176,1986,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,8,Business still registered,9,12,25000,Specialist,Traditional,Local,high,low,,0.0,1.0,70,73,75,77,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,73,75,77,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,14.0,0.0,0.0,1990,1,4.0
1177,1986,Wholesale/Retail Trade,Small tradesman,Munich,Follower,Independent,2,Business still registered,41,12,80000,Specialist,Innovative,Local,high,high,high,0.0,1.0,71,73,77,78,79,82,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,73,77,78,79,82,83,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ne,ab,ab,ab,ab,ab,m,m,m,m,m,m,m,m,m,m,11.0,0.0,0.0,1990,1,4.0
1180,1986,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Follower,Independent,9,Business still registered,3,18,80000,Generalist,Traditional,Local,low,high,low,1.0,1.0,40,43,45,61,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,43,45,61,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,wz,ab,se,m,m,m,m,m,m,m,m,m,m,m,m,m,19.0,25.0,1.0,1990,1,4.0
1181,1986,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Newcomer,Independent,0,Business still registered,8,18,50000,Specialist,Innovative,National,high,high,low,1.0,1.0,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,3.0,0.0,0.0,1990,1,4.0
1183,1986,Wholesale/Retail Trade,Registered firm,Munich,Newcomer,Independent,1,Business still registered,2,18,50000,Specialist,Traditional,National,high,high,,0.0,1.0,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,,,,1990,1,4.0
1184,1985,Wholesale/Retail Trade,Small tradesman,Upper Bavaria,Newcomer,Independent,1,Business still registered,4,17,80000,Specialist,Innovative,National,high,,low,1.0,1.0,77,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,8.0,0.0,0.0,1990,1,5.0
1185,1985,Wholesale/Retail Trade,Registered firm,Upper Bavaria,Newcomer,Independent,1,Business still registered,8,15,650000,Generalist,Innovative,Local,low,,low,0.0,1.0,77,79,81,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,79,81,83,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,wz,le,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,4.0,0.0,0.0,1990,1,5.0
1187,1985,Other Services,Small tradesman,Upper Bavaria,Newcomer,Independent,0,Business still registered,13,18,750000,Specialist,Traditional,Local,high,low,low,1.0,1.0,70,73,81,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,73,81,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,wz,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,7.0,0.0,0.0,1990,1,5.0
1188,1985,Wholesale/Retail Trade,Small tradesman,Upper Bavaria,Follower,Independent,1,Business still registered,21,18,170000,Generalist,Traditional,Local,low,low,,1.0,1.0,40,43,50,51,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,43,50,51,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,le,ab,ab,ne,m,m,m,m,m,m,m,m,m,m,m,m,m,11.0,0.0,0.0,1990,1,5.0
1189,1985,Wholesale/Retail Trade,Small tradesman,Upper Bavaria,Follower,Independent,1,Business still registered,23,13,kein Startkapital,Specialist,Traditional,Local,high,low,,1.0,1.0,62,70,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,70,85,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ne,ne,m,m,m,m,m,m,m,m,m,m,m,m,m,m,m,0.0,0.0,0.0,1990,1,5.0
1190,1986,Other Services,Small tradesman,Munich,Follower,Independent,2,Business still registered,2,13,50000,Specialist,Innovative,Local,high,high,low,1.0,1.0,72,78,79,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,78,79,86,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,Business established,ab,al,ab,m,m,m,m,m,m,m,m,m,m,m,m,m,m,13.0,0.0,0.0,1990,1,4.0
